id,construidos_m,utiles_m,habitaciones,baos,terraza,balcon,estado,orientacion,garaje,ao_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
153,242,200,3,2,SI,NO,Buen estado,sur,SI,-2022,NO,1,NO,NO,NO,Igualada,Igualada,f,230000,230000,Piso en venta en Centre
154,91,79,3,2,SI,NO,Buen estado,este,SI,2007,SI,1,SI,SI,Zonas verdes,Igualada,Igualada,e,275000,275000,Piso en venta en Pla de Sant Magi
155,379,379,3,2,SI,SI,Buen estado,"este,",NO,-2022,NO,-1,NO,SI,NO,Igualada,Igualada,e,279000,279000,Casa o chalet en venta en Ponent
156,127,87,3,1,NO,NO,Buen estado,NA,NO,1974,NO,-1,NO,NO,NO,Igualada,Ponent,e,114000,114000,ﾃ》ico en venta en calle del Pare Salvador Font
157,108,87,3,2,NO,SI,Buen estado,NA,NO,1970,NO,4,SI,NO,NO,Igualada,Centre,d,118500,118500,Piso en venta en rambla de Sant Isidre
158,107,93,3,3,SI,NO,Buen estado,este,NO,2007,SI,1,NO,NO,Zonas verdes,Igualada,Ponent,e,156000,156000,"Dﾃｺplex en venta en avenida del Mestre Montaner, 9"
159,40,40,-1,1,NO,NO,Buen estado,norte,NO,-2022,SI,1,NO,SI,NO,Igualada,Centre,g,95000,95000,"Piso en venta en Alba, 14"
160,91,90,4,2,SI,SI,Buen estado,sur,SI,-2022,NO,-1,NO,SI,Jardﾃｭn,Igualada,Igualada,NO,235000,235000,Chalet adosado en venta en Les Comes
161,75,65,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,82000,82000,Piso en venta en Passatge de la Tossa
162,72,50,3,1,NO,NO,Buen estado,norte,NO,-2022,NO,3,NO,NO,NO,Igualada,Centre,e,76100,76100,Piso en venta en callejﾃｳn Sant Miquel
163,91,73,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Centre,NO,85000,85000,Piso en venta en callejﾃｳn Sant Nicolau
164,110,104,3,1,SI,NO,Buen estado,NA,NO,-2022,SI,3,NO,SI,NO,Igualada,Llevant,e,115000,115000,Dﾃｺplex en venta en calle Molﾃｭ de l'Abadia
165,115,115,4,2,SI,SI,Buen estado,NA,NO,-2022,NO,1,SI,NO,NO,Igualada,Pla de Sant Magi,NO,160000,160000,"Piso en venta en avenida de Barcelona, 157"
166,88,88,3,1,NO,NO,Buen estado,NA,NO,1968,SI,-1,NO,NO,NO,Igualada,Llevant,NO,71600,71600,Piso en venta en calle de Josep Galtﾃｩs
167,113,110,2,1,SI,SI,Buen estado,"sur,",NO,2005,NO,2,SI,NO,NO,Igualada,Igualada,e,181000,181000,Dﾃｺplex en venta en Pla de Sant Magi
168,86,78,3,2,NO,SI,Buen estado,este,NO,1990,NO,1,NO,NO,NO,Igualada,Igualada,f,130000,130000,Piso en venta en Ponent
169,75,75,4,1,NO,NO,Buen estado,NA,SI,1974,SI,3,NO,SI,NO,Igualada,Igualada,NO,127000,127000,Piso en venta en Ponent
170,53,1,3,1,NO,NO,Por reformar,sur,NO,1956,NO,2,NO,NO,NO,Igualada,Igualada,f,43000,43000,Piso en venta en Llevant
171,90,76,3,1,NO,NO,Buen estado,"este,",NO,1976,SI,1,NO,NO,NO,Igualada,Igualada,f,120000,120000,Piso en venta en Ponent
172,345,345,5,1,NO,NO,Buen estado,NA,NO,1912,SI,-1,NO,NO,NO,Igualada,Centre,NO,72600,72600,Casa o chalet en venta en calle del Roser
173,371,300,4,3,SI,SI,Buen estado,NA,SI,1991,SI,-1,NO,SI,Jardﾃｭn,Igualada,Igualada,f,525000,525000,Casa o chalet independiente en venta en Sesoliveres la Massa
174,57,42,2,1,SI,NO,Buen estado,norte,NO,1964,NO,1,NO,NO,NO,Igualada,Igualada,g,78500,80000,Piso en venta en Centre
175,92,87,4,1,NO,SI,Buen estado,norte,SI,-2022,SI,1,SI,NO,NO,Igualada,Pla de Sant Magi,NO,125000,125000,Piso en venta en calle de Tarragona
176,63,63,-1,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,e,94000,94000,Piso en venta en Pla de Sant Magi
177,116,100,4,2,NO,SI,Buen estado,oeste,SI,2004,SI,2,SI,SI,NO,Igualada,Ponent,NO,220000,220000,Piso en venta en calle de la Pobla de Claramunt
178,75,58,2,1,SI,SI,Buen estado,"este,",NO,1922,SI,2,SI,NO,NO,Igualada,Igualada,c,118000,118000,Piso en venta en Centre
179,227,156,5,3,SI,SI,Buen estado,sur,SI,2006,SI,2,SI,SI,NO,Igualada,Igualada,e,290000,290000,Dﾃｺplex en venta en Pla de Sant Magi
180,227,156,5,3,SI,SI,Buen estado,sur,SI,2006,SI,2,SI,SI,NO,Igualada,Igualada,e,290000,290000,Dﾃｺplex en venta en Pla de Sant Magi
181,113,113,2,1,NO,NO,Buen estado,norte,NO,2005,NO,2,SI,NO,NO,Igualada,Pla de Sant Magi,NO,181000,181000,Piso en venta en calle de Trobadiners
182,76,67,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,5,NO,NO,NO,Igualada,Llevant,NO,59612,59612,Piso en venta en calle de Sant Carles
183,117,91,4,1,NO,NO,Buen estado,norte,NO,1900,NO,3,NO,NO,NO,Igualada,Centre,e,116000,116000,Piso en venta en calle Santa Maria
184,107,99,3,3,SI,SI,Buen estado,norte,NO,2007,SI,1,SI,SI,Zonas verdes,Igualada,Ponent,d,156000,156000,Dﾃｺplex en venta en avenida del Mestre Montaner
185,450,333,4,2,SI,NO,Buen estado,NA,SI,-2022,SI,-1,NO,SI,Jardﾃｭn,Igualada,Igualada,NO,475000,475000,Casa o chalet independiente en venta en Sesoliveres la Massa
186,76,67,3,1,NO,SI,Por reformar,NA,NO,1967,NO,5,NO,NO,NO,Igualada,Igualada,g,59612,59612,Piso en venta en Llevant
187,71,52,2,1,NO,NO,Buen estado,NA,SI,2010,NO,1,SI,NO,NO,Igualada,Igualada,d,111300,111300,Piso en venta en Centre
188,60,54,-1,1,NO,SI,Buen estado,NA,NO,1997,NO,1,NO,NO,NO,Igualada,Igualada,g,90000,90000,Piso en venta en Centre
189,104,84,3,1,NO,NO,Buen estado,NA,NO,2008,SI,3,SI,SI,NO,Igualada,Igualada,e,115000,115000,Dﾃｺplex en venta en Llevant
190,110,88,4,2,NO,SI,Buen estado,NA,NO,1977,NO,5,SI,NO,NO,Igualada,Igualada,e,121000,121000,Piso en venta en Pla de Sant Magi
191,112,1,3,2,NO,SI,Por reformar,NA,NO,1900,NO,2,NO,NO,NO,Igualada,Igualada,e,120000,120000,Piso en venta en Centre
192,72,59,2,1,NO,NO,Buen estado,"norte,",NO,1964,SI,6,SI,NO,NO,Igualada,Igualada,e,98000,98000,Piso en venta en Llevant
193,98,88,3,1,NO,SI,Buen estado,NA,NO,1900,SI,1,NO,NO,NO,Igualada,Igualada,NO,99900,99900,Piso en venta en Centre
194,63,58,-1,1,NO,NO,Buen estado,NA,NO,2007,SI,1,SI,NO,NO,Igualada,Igualada,e,94000,94000,Piso en venta en Pla de Sant Magi
195,111,100,3,2,NO,SI,Buen estado,NA,NO,1995,NO,2,NO,NO,NO,Igualada,Igualada,f,135000,135000,Piso en venta en Centre
196,105,93,3,2,SI,SI,Buen estado,sur,NO,2001,SI,2,NO,NO,NO,Igualada,Igualada,e,151000,151000,Dﾃｺplex en venta en Centre
197,51,44,2,1,SI,SI,Buen estado,este,SI,-2022,SI,2,SI,SI,NO,Igualada,Igualada,NO,161000,161000,Piso en venta en Pla de Sant Magi
198,84,84,4,2,NO,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Igualada,e,78700,78700,"Piso en venta en Urb. C/ Camelﾃｭes, Llevant"
199,154,119,3,2,SI,SI,Buen estado,"norte,",NO,2003,SI,2,SI,SI,NO,Igualada,Igualada,e,185000,185000,Dﾃｺplex en venta en Centre
200,63,60,-1,1,NO,NO,Buen estado,NA,NO,2007,NO,1,SI,NO,NO,Igualada,Pla de Sant Magi,d,94000,94000,Piso en venta en calle de Sant Joan Baptista
201,90,80,4,1,NO,NO,Buen estado,este,SI,1974,NO,3,NO,SI,NO,Igualada,Ponent,NO,127000,130000,"Piso en venta en calle del Pare Salvador Font, 7"
202,-1,-1,-1,1,NO,NO,Por reformar,NA,NO,1980,NO,-1,NO,NO,NO,Igualada,Igualada,e,300000,300000,Casa o chalet independiente en venta en Centre
203,138,117,5,2,NO,SI,Por reformar,sur,NO,1968,NO,4,NO,NO,NO,Igualada,Igualada,e,93000,93000,Piso en venta en Llevant
204,397,345,5,2,NO,NO,Por reformar,"norte,",NO,1912,NO,-1,NO,NO,NO,Igualada,Igualada,d,80500,80500,Casa o chalet independiente en venta en Centre
205,95,95,3,1,NO,NO,Buen estado,"norte,",NO,1970,SI,3,SI,NO,NO,Igualada,Igualada,e,130000,130000,Piso en venta en Ponent
206,67,40,2,1,SI,NO,Por reformar,NA,NO,2009,NO,2,SI,NO,NO,Igualada,Igualada,g,94400,94400,Piso en venta en Centre
207,117,1,4,1,NO,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Igualada,e,116000,116000,Piso en venta en Centre
208,42,36,-1,1,NO,SI,Buen estado,NA,NO,2007,NO,-1,SI,NO,NO,Igualada,Igualada,e,72000,72000,Piso en venta en Pla de Sant Magi
209,200,157,5,3,NO,NO,Buen estado,sur,NO,2020,NO,-1,NO,NO,NO,Igualada,Igualada,NO,483000,483000,Casa o chalet independiente en venta en Pla de Sant Magi
210,91,91,3,2,SI,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,e,130000,130000,Piso en venta en Ponent
211,90,90,3,2,NO,SI,Buen estado,NA,NO,-2022,NO,4,SI,NO,NO,Igualada,Les Comes,e,150000,150000,Piso en venta en calle del President Josep Tarradellas
212,93,73,4,1,SI,NO,Buen estado,NA,NO,1968,SI,3,SI,NO,NO,Igualada,Igualada,g,107500,107500,Piso en venta en Llevant
213,81,75,3,1,NO,SI,Buen estado,norte,NO,1971,SI,3,SI,NO,NO,Igualada,Igualada,e,110000,110000,Piso en venta en Sesoliveres la Massa
214,100,90,3,2,SI,NO,Buen estado,sur,NO,2005,SI,2,NO,NO,NO,Igualada,Igualada,NO,205000,205000,Dﾃｺplex en venta en Llevant
215,89,89,3,2,SI,SI,Buen estado,sur,NO,-2022,NO,2,NO,SI,NO,Igualada,Centre,NO,125000,125000,"Piso en venta en calle de l'Aurora, 40"
216,90,90,4,2,NO,SI,Buen estado,NA,NO,-2022,NO,4,SI,SI,Zonas verdes,Igualada,Ponent,e,185000,185000,"Piso en venta en calle de la Comarca, 78"
217,96,96,3,1,SI,NO,Buen estado,"este,",NO,-2022,SI,1,NO,NO,NO,Igualada,Igualada,NO,120000,120000,Piso en venta en Ponent
218,69,69,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,d,68900,68900,"Piso en venta en Urb. C/ Argent, Centre"
219,108,108,5,1,NO,NO,Buen estado,NA,NO,-2022,NO,1,NO,NO,NO,Igualada,Igualada,f,143000,143000,"Piso en venta en Urb. C/ Vilanova i la Geltru, Pla de Sant Magi"
220,56,56,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,1,NO,NO,NO,Igualada,Igualada,e,100000,100000,"Piso en venta en Urb. C/ Doctor Coca, Llevant"
221,143,110,3,2,SI,NO,Buen estado,NA,SI,-2022,NO,3,SI,NO,NO,Igualada,Centre,b,272000,272000,"Piso en venta en plaza de Cal Font, 90"
222,77,67,3,1,SI,SI,Por reformar,"este,",NO,1965,NO,2,NO,NO,NO,Igualada,Igualada,NO,62000,62000,Piso en venta en Centre
223,115,94,4,2,NO,NO,Buen estado,oeste,NO,1995,SI,3,SI,SI,NO,Igualada,Centre,e,176000,176000,"Piso en venta en calle Santa Caterina, 30"
224,42,42,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,72000,72000,Piso en venta en calle de Santiago Rusiﾃｱol
225,75,65,2,1,NO,NO,Buen estado,NA,NO,1986,NO,4,NO,NO,NO,Igualada,Pla de Sant Magi,c,56000,56000,"Piso en venta en alcantara, 7"
226,43,36,-1,1,NO,NO,Buen estado,oeste,NO,2007,NO,-1,SI,NO,NO,Igualada,Pla de Sant Magi,f,72000,72000,Piso en venta en calle de Carme Verdaguer
227,156,120,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,Jardﾃｭn,Igualada,Pla de Sant Magi,NO,130000,130000,Casa o chalet en venta en Passatge Colomer
228,128,115,4,2,NO,NO,Buen estado,este,NO,-2022,SI,1,SI,SI,NO,Igualada,Igualada,e,166000,166000,Piso en venta en Pla de Sant Magi
229,272,270,-1,2,NO,NO,Buen estado,sur,SI,1958,NO,-1,NO,NO,NO,Igualada,Igualada,NO,134000,134000,Casa o chalet independiente en venta en Pla de Sant Magi
230,91,90,3,2,NO,NO,Buen estado,NA,NO,1990,NO,1,NO,NO,NO,Igualada,Ponent,f,130000,130000,Piso en venta en calle de Prats del Rei
231,161,1,4,1,NO,NO,Por reformar,NA,NO,1981,NO,1,SI,NO,NO,Igualada,Igualada,NO,160000,160000,Piso en venta en Centre
232,87,82,4,2,NO,SI,Buen estado,norte,NO,-2022,SI,2,SI,NO,NO,Igualada,Centre,NO,180000,180000,Piso en venta en calle de les Delﾃｭcies
233,110,87,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,e,121000,121000,Piso en venta en Pla de Sant Magi
234,112,112,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,2,NO,NO,NO,Igualada,Igualada,e,120000,120000,"Piso en venta en Urb. C/ Nou, Centre"
235,98,98,4,1,SI,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,f,99900,99900,Piso en venta en Centre
236,300,300,5,4,SI,NO,Buen estado,NA,SI,-2022,SI,-1,NO,NO,NO,Igualada,Llevant,e,280000,280000,Casa o chalet en venta en calle de Jaume Boloix i Canela
237,310,309,5,3,SI,NO,Buen estado,"este,",SI,-2022,SI,-1,NO,NO,NO,Igualada,Igualada,NO,513000,513000,Casa o chalet independiente en venta en Pla de Sant Magi
238,370,370,5,4,NO,NO,Buen estado,NA,SI,-2022,SI,-1,NO,NO,Jardﾃｭn,Igualada,Sesoliveres la Massa,NO,525000,525000,Casa o chalet en venta en calle Nueva Esperanza
239,101,87,4,2,NO,SI,Buen estado,sur,NO,-2022,SI,-1,SI,NO,NO,Igualada,Pla de Sant Magi,e,187000,187000,"Piso en venta en avenida de Barcelona, 21"
240,100,100,3,2,SI,NO,Buen estado,este,SI,-2022,NO,1,SI,NO,Zonas verdes,Igualada,Llevant,NO,140000,140000,"Piso en venta en calle del Doctor Pujades, 76"
241,-1,-1,12,7,NO,NO,Por reformar,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,NO,399000,399000,Casa o chalet independiente en venta en Centre
242,110,90,3,2,SI,NO,Buen estado,NA,NO,2023,NO,1,SI,NO,NO,Igualada,Igualada,b,262000,262000,Piso en venta en Pla de Sant Magi
243,110,90,3,2,SI,NO,Buen estado,NA,NO,2023,NO,2,SI,NO,NO,Igualada,Igualada,b,249000,249000,Piso en venta en Pla de Sant Magi
244,110,90,3,2,SI,NO,Buen estado,NA,NO,2023,NO,1,SI,NO,NO,Igualada,Igualada,b,256000,256000,Piso en venta en Pla de Sant Magi
245,81,67,2,1,SI,NO,Buen estado,NA,NO,2023,NO,1,SI,NO,NO,Igualada,Igualada,b,180000,180000,Piso en venta en Pla de Sant Magi
246,161,128,4,3,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,325000,325000,Dﾃｺplex en venta en Pla de Sant Magi
247,116,93,3,2,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,265000,265000,Dﾃｺplex en venta en Pla de Sant Magi
248,161,128,4,3,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,325000,325000,Dﾃｺplex en venta en Pla de Sant Magi
249,110,90,3,2,SI,NO,Buen estado,NA,NO,2023,NO,2,SI,NO,NO,Igualada,Igualada,b,249000,249000,Piso en venta en Pla de Sant Magi
250,110,90,3,2,SI,NO,Buen estado,NA,NO,2023,NO,2,SI,NO,NO,Igualada,Igualada,b,251000,251000,Piso en venta en Pla de Sant Magi
251,114,91,3,2,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,265000,265000,Dﾃｺplex en venta en Pla de Sant Magi
252,161,128,4,3,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,328000,328000,Dﾃｺplex en venta en Pla de Sant Magi
253,110,90,3,2,SI,NO,Buen estado,NA,NO,-2022,NO,1,SI,NO,NO,Igualada,Igualada,b,262000,262000,Piso en venta en Pla de Sant Magi
254,110,90,3,2,SI,NO,Buen estado,NA,NO,-2022,NO,1,SI,NO,NO,Igualada,Igualada,b,259000,259000,Piso en venta en Pla de Sant Magi
255,161,128,4,3,SI,NO,Buen estado,NA,NO,2023,NO,3,SI,NO,NO,Igualada,Igualada,b,328000,328000,Dﾃｺplex en venta en Pla de Sant Magi
256,88,77,4,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Ponent,e,120000,120000,"Piso en venta en calle de Masquefa, 27 -19"
257,88,70,3,1,SI,NO,Buen estado,NA,NO,1968,NO,-1,NO,NO,NO,Igualada,Llevant,NO,71600,71600,"Piso en venta en calle de Josep Galtﾃｩs, 26"
258,112,70,3,1,SI,NO,Buen estado,NA,SI,-2022,SI,1,SI,NO,Zonas verdes,Igualada,Pla de Sant Magi,NO,275000,275000,Piso en venta en avenida d Andorra
259,303,257,-1,1,SI,NO,Por reformar,sur,SI,1950,NO,-1,NO,NO,NO,Igualada,Llevant,NO,210000,210000,Casa o chalet en venta en calle del Carrilet
260,88,65,2,2,SI,SI,Buen estado,NA,NO,2023,SI,1,SI,NO,NO,Igualada,Igualada,a,200000,200000,Piso en venta en Pla de Sant Magi
261,329,290,5,3,SI,NO,Por reformar,"norte,",SI,1900,NO,-1,NO,NO,NO,Igualada,Igualada,NO,198000,198000,Casa o chalet independiente en venta en Centre
262,75,67,2,1,NO,NO,Buen estado,NA,NO,2006,NO,-1,SI,NO,NO,Igualada,Igualada,f,106000,106000,Piso en venta en Centre
263,406,345,6,3,NO,NO,Buen estado,NA,NO,1925,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,250000,250000,Casa o chalet en venta en calle d'ﾃ壇ena
264,145,120,4,2,NO,NO,Buen estado,NA,SI,2000,SI,2,SI,SI,NO,Igualada,Igualada,NO,220000,220000,Piso en venta en Centre
265,80,64,3,1,NO,SI,Buen estado,NA,NO,1971,NO,3,NO,NO,NO,Igualada,Igualada,g,64000,64000,Piso en venta en Pla de Sant Magi
266,77,70,3,1,NO,SI,Buen estado,sur,NO,1973,NO,2,NO,NO,NO,Igualada,Igualada,f,80000,80000,Piso en venta en Llevant
267,99,86,4,2,NO,SI,Buen estado,NA,NO,1976,NO,2,SI,NO,NO,Igualada,Igualada,e,127000,127000,Piso en venta en Ponent
268,117,90,4,2,NO,SI,Buen estado,"norte,",SI,1998,SI,4,SI,NO,NO,Igualada,Igualada,e,194999,194999,Piso en venta en Ponent
269,95,95,3,2,SI,NO,Buen estado,NA,NO,-2022,SI,2,NO,SI,NO,Igualada,Igualada,NO,154800,154800,Piso en venta en Centre
270,102,102,3,1,NO,NO,Buen estado,este,NO,1979,SI,3,NO,NO,NO,Igualada,Igualada,NO,68000,68000,Piso en venta en Llevant
271,71,71,2,1,NO,SI,Buen estado,NA,SI,2008,SI,1,NO,NO,NO,Igualada,Igualada,NO,110900,110900,Piso en venta en Centre
272,86,84,3,1,NO,NO,Por reformar,NA,NO,1900,NO,-1,NO,NO,NO,Igualada,Igualada,NO,46000,46000,Piso en venta en Centre
273,314,213,4,2,NO,NO,Buen estado,sur,SI,-2022,NO,-1,NO,NO,Jardﾃｭn,Igualada,Igualada,NO,600000,600000,Casa o chalet independiente en venta en Sesoliveres la Massa
274,87,86,4,1,NO,NO,Buen estado,norte,NO,1970,NO,4,SI,NO,NO,Igualada,Igualada,NO,118500,118500,Piso en venta en Centre
275,67,50,3,2,NO,NO,Por reformar,NA,NO,2009,NO,-1,SI,NO,NO,Igualada,Centre,NO,94400,94400,Dﾃｺplex en venta en calle del Roser s/n
276,42,41,-1,1,SI,NO,Buen estado,oeste,NO,2001,SI,1,SI,NO,NO,Igualada,Igualada,g,60000,60000,Piso en venta en Centre
277,72,1,2,1,NO,NO,Buen estado,NA,NO,2006,NO,1,NO,NO,NO,Igualada,Igualada,e,124000,124000,Piso en venta en Centre
278,80,80,-1,2,NO,NO,Buen estado,sur,NO,-2022,SI,-1,NO,NO,NO,Igualada,Igualada,e,99000,99000,Piso en venta en Llevant
279,96,1,4,1,NO,SI,Buen estado,sur,NO,1966,NO,1,NO,NO,NO,Igualada,Igualada,NO,75000,75000,Piso en venta en Pla de Sant Magi
280,68,48,2,1,NO,SI,Buen estado,sur,SI,2006,SI,2,SI,SI,NO,Igualada,Igualada,d,125000,135000,Piso en venta en Centre
281,333,333,4,3,SI,SI,Buen estado,NA,SI,-2022,NO,-1,NO,SI,Jardﾃｭn,Igualada,Ponent,NO,475000,475000,"Casa o chalet independiente en venta en avenida d'ﾃngel Guimerﾃ, 16"
282,100,84,3,2,SI,SI,Buen estado,este,SI,-2022,SI,1,SI,NO,NO,Igualada,Centre,NO,185000,185000,"Piso en venta en calle dels Esquiladors, 21"
283,350,350,6,3,SI,NO,Por reformar,NA,SI,-2022,NO,-1,NO,NO,NO,Igualada,Sesoliveres la Massa,NO,155000,155000,"Casa de pueblo en venta en avenida d'ﾃngel Guimerﾃ, 123"
284,70,70,2,2,SI,NO,Buen estado,"norte,",NO,-2022,NO,2,NO,SI,NO,Igualada,Centre,NO,148000,148000,"Dﾃｺplex en venta en calle Sant Agustﾃｭ, 4"
285,101,86,4,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,e,127000,127000,Piso en venta en Ponent
286,75,58,2,1,SI,SI,Buen estado,"este,",NO,1922,SI,1,SI,NO,NO,Igualada,Igualada,c,118000,118000,Piso en venta en Centre
287,201,126,6,2,SI,NO,Por reformar,NA,NO,1930,NO,-1,NO,NO,NO,Igualada,Igualada,NO,140000,140000,Casa o chalet independiente en venta en Pla de Sant Magi
288,135,95,3,2,NO,NO,Buen estado,sur,NO,1996,NO,-1,SI,NO,NO,Igualada,Igualada,e,180000,180000,"Piso en venta en Urb. Sagrada Familia, Pla de Sant Magi"
289,106,74,3,2,NO,NO,Buen estado,sur,NO,2002,NO,-1,SI,NO,NO,Igualada,Igualada,e,168000,168000,"Piso en venta en Urb. Casc Antic, Centre"
290,74,69,3,1,NO,NO,Buen estado,NA,NO,-2022,SI,-1,NO,NO,NO,Igualada,Pla de Sant Magi,e,136000,136000,"Piso en venta en calle de Sant Pere, 12"
291,450,450,14,6,SI,NO,Buen estado,este,NO,-2022,NO,-1,NO,SI,NO,Igualada,Centre,e,370000,370000,"Casa o chalet independiente en venta en Baixada de Sant Nicolau, 5"
292,-1,-1,-1,-1,NO,NO,Por reformar,sur,NO,-2022,NO,-1,NO,NO,NO,Igualada,Centre,NO,300000,300000,"Casa de pueblo en venta en calle retir, 29"
293,100,90,3,1,SI,NO,Buen estado,sur,NO,-2022,NO,4,NO,NO,NO,Igualada,Llevant,NO,110000,110000,"Piso en venta en calle Doctor Coca, 28"
294,422,422,9,5,SI,NO,Buen estado,NA,NO,-2022,NO,-1,NO,SI,NO,Igualada,Centre,NO,200000,200000,"Chalet pareado en venta en calle Retir, 3"
295,106,106,3,2,NO,NO,Buen estado,sur,SI,-2022,NO,2,SI,SI,NO,Igualada,Ponent,NO,220000,220000,"Piso en venta en calle Pobla de Claramunt, 7"
296,91,80,4,1,NO,NO,Buen estado,NA,NO,1980,SI,1,NO,NO,NO,Igualada,Igualada,e,95000,95000,Piso en venta en Ponent
297,78,70,3,2,NO,NO,Buen estado,este,NO,1960,NO,-1,SI,NO,NO,Igualada,Igualada,f,175000,175000,"Piso en venta en Urb. Pau Casals, Llevant"
298,-1,-1,8,4,NO,NO,Por reformar,NA,NO,1950,NO,-1,NO,NO,NO,Igualada,Igualada,g,330000,330000,Casa o chalet independiente en venta en Centre
299,65,60,-1,1,NO,NO,Buen estado,norte,NO,-2022,NO,1,SI,SI,NO,Igualada,Centre,a,150000,150000,"Estudio en venta en calle Rambla Sant Isidre, 8"
300,67,67,3,1,NO,NO,Buen estado,NA,NO,2009,SI,-1,NO,NO,NO,Igualada,Centre,NO,94400,94400,Piso en venta en calle del Roser
301,90,90,-1,1,NO,NO,Buen estado,NA,NO,2008,SI,-1,NO,NO,NO,Igualada,Centre,NO,110900,110900,Piso en venta en calle de Sant Ignasi
302,41,41,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,64800,64800,Piso en venta en calle de Santiago Rusiﾃｱol
303,73,73,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,117000,117000,Piso en venta en calle de Carme Verdaguer
304,55,55,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Llevant,NO,48000,48000,"Piso en venta en calle de Pau Muntadas, 83"
305,67,63,4,1,SI,NO,Por reformar,este,NO,-2022,NO,4,SI,NO,NO,Igualada,Centre,b,120000,120000,"Piso en venta en calle de Sant Antoni de Baix, 37"
306,395,395,4,3,SI,SI,Buen estado,sur,SI,-2022,NO,-1,NO,NO,Jardﾃｭn,Igualada,Ponent,b,450000,450000,"Chalet pareado en venta en avenida del Doctor Pasteur, 48"